,month,date,seoul,busan,daegu,incheon,gwangju,daejon,ulsan,sejong,gyeonggi,gangwon,chungbuk,chungnam,jeonbuk,jeonnam,gyeongbuk,gyeongnam,jeju
0,202205,27,8242735.612903226,5994.419354838709,3631.2580645161293,60247.77419354839,3197.1290322580644,5469.193548387097,1723.0645161290327,3232.1935483870966,568615.0967741936,23242.483870967742,10765.290322580644,14793.612903225807,5782.999999999999,5301.967741935484,7827.806451612903,5703.741935483871,4829.193548387096
0,202202,12,8365297.714285713,5868.4285714285725,3552.4285714285716,52094.71428571429,3023.9999999999995,4965.571428571428,1728.7142857142853,2916.428571428571,480088.42857142864,17507.0,8735.857142857143,12033.714285714286,5102.0,4742.0,5938.4285714285725,5538.142857142858,4198.857142857143
0,202212,17,8387122.032258065,7175.677419354837,4864.741935483871,56642.51612903226,3906.354838709677,6237.645161290323,2207.7096774193546,3398.7741935483873,528149.0322580645,22266.548387096773,10706.677419354839,14063.09677419355,7026.419354838709,6776.935483870968,8258.322580645161,7439.419354838709,5445.8064516129025
0,202210,1,8282604.838709678,6081.548387096775,3686.806451612903,60245.161290322576,3018.8709677419356,5734.903225806453,1943.8387096774195,3626.8064516129034,569512.1935483871,24359.12903225806,12102.935483870968,16487.25806451613,6653.129032258064,5899.677419354839,8249.258064516129,6083.74193548387,4776.645161290322
0,202210,12,8261483.064516127,5922.58064516129,3651.677419354839,60664.93548387097,2973.4516129032254,5612.838709677418,1832.0645161290322,3470.6774193548385,574948.3225806452,22919.548387096773,11662.225806451612,16094.09677419355,6555.548387096775,5599.129032258064,7911.096774193548,6003.903225806451,4563.741935483871
0,202201,9,8306603.677419354,7200.290322580645,4531.290322580646,52814.903225806454,3715.3548387096776,5497.387096774192,2298.1290322580644,3210.3548387096776,490806.0,20320.93548387097,9708.225806451612,13558.548387096773,6371.903225806453,6257.741935483871,7593.774193548386,7463.967741935485,4973.354838709677
0,202212,3,8390897.06451613,6315.354838709678,4344.483870967742,57571.032258064515,3473.709677419355,5942.290322580645,1944.4193548387095,3391.548387096774,538742.0645161291,21860.09677419355,10560.354838709678,13698.193548387098,6219.8387096774195,5498.870967741936,7382.645161290323,6170.838709677419,4943.612903225806
0,202207,22,8293278.483870969,6771.032258064516,4293.935483870968,57806.709677419356,3670.516129032258,5463.483870967742,1879.9354838709678,3407.451612903226,547831.064516129,26072.38709677419,10991.096774193547,14907.064516129032,6854.935483870968,6356.612903225807,8261.806451612903,6861.354838709678,5625.290322580646
0,202209,27,8278944.300000001,6204.9,3771.0,60281.0,3094.3999999999996,5746.000000000001,1958.2999999999997,3633.9999999999995,569687.2000000001,24443.7,12161.800000000001,16524.6,6779.3,6034.9,8358.099999999999,6190.5,4811.3
0,202209,26,8277084.066666666,6241.200000000001,3798.0,60305.66666666667,3118.2,5746.0,1959.7333333333336,3631.6666666666665,569910.2666666667,24428.266666666666,12168.066666666668,16525.133333333335,6818.4,6070.866666666667,8384.133333333333,6223.666666666667,4816.400000000001
0,202207,23,8294019.096774193,6767.806451612903,4298.387096774193,57739.74193548387,3676.903225806452,5458.096774193549,1884.3870967741934,3414.2903225806454,547365.6129032258,26112.67741935484,11008.41935483871,14905.612903225807,6880.387096774194,6376.322580645161,8288.161290322581,6868.870967741936,5623.25806451613
0,202212,2,8391166.709677419,6253.903225806453,4307.322580645161,57637.35483870968,3442.806451612904,5921.193548387097,1925.6129032258063,3391.032258064516,539498.7096774194,21831.06451612903,10549.90322580645,13672.129032258063,6162.225806451614,5407.58064516129,7320.096774193548,6080.225806451614,4907.74193548387
0,202201,8,8304881.935483869,7210.258064516129,4554.258064516129,52865.58064516129,3729.8709677419356,5500.677419354839,2309.225806451613,3214.8709677419356,491606.0,20392.387096774193,9742.645161290324,13608.709677419356,6400.58064516129,6292.548387096775,7641.354838709677,7500.193548387097,4984.8709677419365
0,202210,13,8259562.903225807,5908.129032258064,3648.4838709677424,60703.096774193546,2969.3225806451615,5601.741935483871,1821.9032258064517,3456.4838709677424,575442.5161290322,22788.67741935484,11622.16129032258,16058.354838709678,6546.677419354839,5571.8064516129025,7880.354838709677,5996.645161290322,4544.387096774194
0,202212,16,8387391.677419355,7114.225806451613,4827.58064516129,56708.83870967742,3875.4516129032254,6216.548387096774,2188.9032258064517,3398.2580645161293,528905.6774193548,22237.516129032258,10696.225806451614,14037.032258064515,6968.806451612903,6685.645161290323,8195.774193548386,7348.806451612903,5409.935483870968
0,202202,13,8367032.357142858,5775.714285714286,3512.9642857142853,52127.607142857145,2993.0,4927.285714285714,1701.6071428571431,2900.214285714286,480661.9642857143,17403.5,8717.928571428572,11998.607142857141,5048.75,4679.5,5887.714285714285,5444.071428571428,4155.4285714285725
0,202205,26,8240873.516129032,5988.774193548386,3636.3225806451615,60325.967741935485,3208.1612903225805,5456.741935483871,1714.5806451612905,3239.7419354838707,569117.8709677419,23214.354838709678,10805.612903225807,14832.516129032258,5792.0,5301.709677419354,7818.258064516129,5724.677419354839,4812.74193548387
0,202209,1,8230578.233333333,7148.7,4473.0,60922.33333333333,3713.2000000000003,5746.0,1995.566666666667,3573.333333333333,575486.9333333333,24042.433333333334,12324.733333333334,16538.466666666667,7795.9,6970.033333333334,9034.966666666667,7052.833333333332,4943.9
0,202205,24,8237149.322580645,5977.483870967742,3646.451612903226,60482.35483870968,3230.225806451613,5431.838709677419,1697.6129032258066,3254.8387096774195,570123.4193548387,23158.09677419355,10886.25806451613,14910.322580645163,5810.0,5301.193548387097,7799.1612903225805,5766.548387096775,4779.838709677419
0,202209,3,8234298.699999999,7076.1,4419.0,60873.0,3665.6,5745.999999999999,1992.7000000000003,3578.0000000000005,575040.7999999999,24073.3,12312.199999999999,16537.4,7717.699999999999,6898.1,8982.900000000001,6986.499999999999,4933.7
