,진단일,거주시도_서울
0,2020-02-01,1
1,2020-02-02,1
2,2020-02-03,1
3,2020-02-04,2
4,2020-02-05,3
5,2020-02-06,2
6,2020-02-07,1
7,2020-02-08,2
8,2020-02-09,2
9,2020-02-10,4
10,2020-02-11,0
11,2020-02-12,1
12,2020-02-13,1
13,2020-02-14,1
14,2020-02-15,1
15,2020-02-16,4
16,2020-02-17,2
17,2020-02-18,2
18,2020-02-19,5
19,2020-02-20,9
20,2020-02-21,9
21,2020-02-22,4
22,2020-02-23,5
23,2020-02-24,11
24,2020-02-25,13
25,2020-02-26,6
26,2020-02-27,8
27,2020-02-28,11
28,2020-02-29,6
29,2020-03-01,5
30,2020-03-02,7
31,2020-03-03,6
32,2020-03-04,4
33,2020-03-05,7
34,2020-03-06,14
35,2020-03-07,14
36,2020-03-08,11
37,2020-03-09,53
38,2020-03-10,29
39,2020-03-11,15
40,2020-03-12,14
41,2020-03-13,12
42,2020-03-14,8
43,2020-03-15,13
44,2020-03-16,11
45,2020-03-17,11
46,2020-03-18,17
47,2020-03-19,22
48,2020-03-20,17
49,2020-03-21,11
50,2020-03-22,10
51,2020-03-23,25
52,2020-03-24,22
53,2020-03-25,19
54,2020-03-26,20
55,2020-03-27,25
56,2020-03-28,29
57,2020-03-29,26
58,2020-03-30,25
59,2020-03-31,25
60,2020-04-01,32
61,2020-04-02,28
62,2020-04-03,30
63,2020-04-04,16
64,2020-04-05,11
65,2020-04-06,23
66,2020-04-07,14
67,2020-04-08,7
68,2020-04-09,8
69,2020-04-10,8
70,2020-04-11,12
71,2020-04-12,5
72,2020-04-13,8
73,2020-04-14,1
74,2020-04-15,2
75,2020-04-16,6
76,2020-04-17,5
77,2020-04-18,2
78,2020-04-19,3
79,2020-04-20,2
80,2020-04-21,1
81,2020-04-22,0
82,2020-04-23,0
83,2020-04-24,1
84,2020-04-25,1
85,2020-04-26,3
86,2020-04-27,2
87,2020-04-28,1
88,2020-04-29,2
89,2020-04-30,2
90,2020-05-01,5
91,2020-05-02,1
92,2020-05-03,0
93,2020-05-04,1
94,2020-05-05,1
95,2020-05-06,2
96,2020-05-07,13
97,2020-05-08,15
98,2020-05-09,22
99,2020-05-10,15
100,2020-05-11,6
101,2020-05-12,6
102,2020-05-13,6
103,2020-05-14,15
104,2020-05-15,2
105,2020-05-16,5
106,2020-05-17,10
107,2020-05-18,3
108,2020-05-19,8
109,2020-05-20,1
110,2020-05-21,4
111,2020-05-22,4
112,2020-05-23,7
113,2020-05-24,6
114,2020-05-25,9
115,2020-05-26,30
116,2020-05-27,22
117,2020-05-28,9
118,2020-05-29,11
119,2020-05-30,2
120,2020-05-31,8
121,2020-06-01,18
122,2020-06-02,19
123,2020-06-03,11
124,2020-06-04,28
125,2020-06-05,22
126,2020-06-06,24
127,2020-06-07,20
128,2020-06-08,14
129,2020-06-09,13
130,2020-06-10,28
131,2020-06-11,30
132,2020-06-12,14
133,2020-06-13,11
134,2020-06-14,6
135,2020-06-15,18
136,2020-06-16,26
137,2020-06-17,13
138,2020-06-18,22
139,2020-06-19,18
140,2020-06-20,8
141,2020-06-21,5
142,2020-06-22,18
143,2020-06-23,8
144,2020-06-24,12
145,2020-06-25,21
146,2020-06-26,14
147,2020-06-27,12
148,2020-06-28,8
149,2020-06-29,8
150,2020-06-30,11
151,2020-07-01,11
152,2020-07-02,12
153,2020-07-03,10
154,2020-07-04,9
155,2020-07-05,4
156,2020-07-06,9
157,2020-07-07,6
